tech,Technology,Type,RET
BENSOLPRSAL3,Solar (Stand Alone3) Future electrified,Stand alone,Y
BENSOLPRSAL4,Solar (Stand Alone4) Future electrified,Stand alone,Y
BENSOLPRSAL5,Solar (Stand Alone5) Future electrified,Stand alone,Y
BENWINMGRID1,Wind (Mini-Grid) Future electrified,Mini grid,Y
BENHYDMGRID1,Hydro (Mini-Grid) Future electrified,Mini grid,Y
BENTO CHECK WITH VIG,Coal,,
BENTO CHECK WITH VIG,Oil,,
BENTO CHECK WITH VIG,Gas,,
BENTO CHECK WITH VIG,Hydro,,
BENTO CHECK WITH VIG,Nuclear,,
BENTO CHECK WITH VIG,Other renewables,,
BENTO CHECK WITH VIG,Backstop,,
BENTO CHECK WITH VIG,Biofuel and Biomass production,,
BENTO CHECK WITH VIG,Coal Production,,
BENTO CHECK WITH VIG,Crude Oil production,,
BENTO CHECK WITH VIG,Natural gas extraction,,
BENTO CHECK WITH VIG,Solar CSP,,
BENTO CHECK WITH VIG,Solar PV,,
BENTO CHECK WITH VIG,Wind,,
BENTO CHECK WITH VIG,Biomass,,
BENTO CHECK WITH VIG,CO2,,
BENTO CHECK WITH VIG,Transmission & Distribution,,
BENDZAELMARBP00,Algeria - Morocco Historic EL trade link,Exports_EL,
BENESPELMARBP00,Spain - Morocco Historic EL trade link,Exports_EL,
BENEGYELSDNBP00,Egypt - Sudan Historic and Planned EL trade link,Exports_EL,
BENEGYELJORBP00,Egypt - Jordan Historic EL trade link,Exports_EL,
BENEGYELSAUBP00,Egypt - Saudi Arabia Planned EL trade link,Exports_EL,
BENLBYELEGYBP00,Libya - Egypt Historic EL trade link,Exports_EL,
BENMARELDZABP00,Morocco - Algeria Historic EL trade link,Exports_EL,
BENTUNELDZABP00,Tunisia - Algeria Historic EL trade link,Exports_EL,
BENDZAGAITABP00,Algeria - Italy Historic NG trade link,Exports_NG,
BENDZAGAPRTBP00,Algeria - Portugal Historic NG trade link,Exports_NG,
BENDZAGAESPBP00,Algeria - Spain Historic and Planned NG trade link,Exports_NG,
BENDZAGAMARBP00,Algeria - Morocco Historic NG trade link,Exports_NG,
BENDZAGATUNBP00,Algeria - Tunisia Historic NG trade link,Exports_NG,
BENEGYGATURBP00,Egypt - Turkey Historic and Planned NG trade link,Exports_NG,
BENISRGAEGYBP00,Israel - Egypt Planned NG trade link,Exports_NG,
BENLBYGAITABP00,Libya - Italy Historic NG trade link,Exports_NG,
BENNGAGADZABP00,Nigeria - Algeria Planned NG trade link,Exports_NG,
BENTO CHECK WITH VIG,power_trade,,
BENTO CHECK WITH VIG,gas_trade,,
BENBDIELRWABP00,Burundi - Rwanda EL existing trade link,Exports_EL,
BENCODELBDIBP00,DRC - Burundi EL existing and planned trade link,Exports_EL,
BENCODELRWABP00,DRC - Rwanda EL existing and planned trade link,Exports_EL,
BENETHELKENBP00,Ethiopia - Kenya EL planned trade link,Exports_EL,
BENETHELDJIBP00,Ethiopia - Djibouti EL existing trade link,Exports_EL,
BENETHELSDNBP00,Ethiopia - Sudan EL existing trade link,Exports_EL,
BENKENELUGABP00,Kenya - Uganda EL existing and planned trade link,Exports_EL,
BENKENELTZABP00,Kenya - Tanzania EL existing and planned trade link,Exports_EL,
BENRWAELBDIBP00,Rwanda - Burundi EL existing trade link,Exports_EL,
BENRWAELTZABP00,Rwanda - Tanzania EL planned trade link,Exports_EL,
BENTZAELBDIBP00,Tanzania - Burundi EL planned trade link,Exports_EL,
BENTZAELKENBP00,Tanzania - Kenya EL planned trade link,Exports_EL,
BENTZAELUGABP00,Tanzania - Uganda EL existing trade link,Exports_EL,
BENUGAELKENBP00,Uganda - Kenya EL existing and planned trade link,Exports_EL,
BENUGAELTZABP00,Uganda - Tanzania EL existing and planned trade link,Exports_EL,
BENUGAELRWABP00,Uganda - Rwanda EL existing trade link,Exports_EL,
BENSENELMLIBP00,Senegal - Mali EL existing trade link,Exports_EL,
BENETHGADJIBP00,Ethiopia - Djibouti NG planned trade link,Exports_NG,
BENTZAGAUGABP00,Tanzania - Uganda NG planned trade link,Exports_NG,
BENBWAELZAFBP00,Botswana - South Africa EL existing trade link,Exports_EL,
BENCODELZAFBP00,DRC - South Africa EL planned trade link,Exports_EL,
BENCODELZMBBP00,DRC - Zambia EL existing trade link,Exports_EL,
BENLSOELZAFBP00,Lesotho - South Africa EL existing trade link,Exports_EL,
BENMOZELZAFBP00,Mozambique - South Africa EL existing trade link,Exports_EL,
BENMOZELSWZBP00,Mozambique - Swaziland EL existing trade link,Exports_EL,
BENMOZELZWEBP00,Mozambique - Zimbabwe EL existing trade link,Exports_EL,
BENZAFELSWZBP00,South Africa - Swaziland EL existing trade link,Exports_EL,
BENZAFELZWEBP00,South Africa - Zimbabwe EL existing trade link,Exports_EL,
BENZMBELZWEBP00,Zambia - Zimbabwe EL existing trade link,Exports_EL,
BENAGOELCODBP00,Angola - DRC EL planned trade link,Exports_EL,
BENBWAELZMBBP00,Botswana - Zambia EL planned trade link,Exports_EL,
BENBWAELNAMBP00,Botswana - Namibia EL planned trade link,Exports_EL,
BENBWAELZWEBP00,Botswana - Zimbabwe EL planned trade link,Exports_EL,
BENMWIELMOZBP00,Malawi - Mozambique EL planned trade link,Exports_EL,
BENMWIELTZABP00,Malawi - Tanzania EL planned trade link,Exports_EL,
BENNAMELAGOBP00,Namibia - Angola EL planned trade link,Exports_EL,
BENNAMELZAFBP00,Namibia - South Africa EL existing trade link,Exports_EL,
BENNAMELZMBBP00,Namibia - Zambia EL planned trade link,Exports_EL,
BENNAMELZWEBP00,Namibia - Zimbabwe EL planned trade link,Exports_EL,
BENTZAELZMBBP00,Tanzania - Zambia EL planned trade link,Exports_EL,
BENZMBELTZABP00,Zambia - Tanzania EL planned trade link,Exports_EL,
BENBENELNERBP00,Benin - Niger EL planned trade link,Exports_EL,
BENBENELGHABP00,Benin - Ghana EL planned trade link,Exports_EL,
BENGHAELBENBP00,Ghana - Benin EL planned trade link,Exports_EL,
BENNERELBENBP00,Niger - Benin EL planned trade link,Exports_EL,
BENTGOELBENBP00,Togo - Benin EL existing trade link,Exports_EL,
BENBFAELNERBP00,Burkina Faso - Niger EL planned trade link,Exports_EL,
BENCIVELBFABP00,Cote dï Ivoire - Burkina Faso EL existing trade link,Exports_EL,
BENGHAELBFABP00,Ghana - Burkina Faso EL planned trade link,Exports_EL,
BENNERELBFABP00,Niger - Burkina Faso EL existing and planned trade link,Exports_EL,
BENCIVELSLEBP00,Cote dï Ivoire - Sierra Leone EL planned trade link,Exports_EL,
BENCIVELGHABP00,Cote dï Ivoire - Ghana EL planned trade link,Exports_EL,
BENCIVELLBRBP00,Cote dï Ivoire - Liberia EL planned trade link,Exports_EL,
BENGHAELCIVBP00,Ghana - Cote dï Ivoire EL existing trade link,Exports_EL,
BENMLIELCIVBP00,Mali - Cote dï Ivoire EL planned trade link,Exports_EL,
BENGMBELGNBBP00,Gambia - Guinea Bissau EL planned trade link,Exports_EL,
BENGMBELSENBP00,Gambia - Senegal EL planned trade link,Exports_EL,
BENTGOELGHABP00,Togo - Ghana EL planned trade link,Exports_EL,
BENGHAELTGOBP00,Ghana - Togo EL existing and planned trade link,Exports_EL,
BENGHAELMLIBP00,Ghana - Mali EL planned trade link,Exports_EL,
BENGINELMLIBP00,Guinea - Mali EL planned trade link,Exports_EL,
BENGINELSENBP00,Guinea - Senegal EL planned trade link,Exports_EL,
BENSENELMRTBP00,Senegal - Mauritania EL planned trade link,Exports_EL,
BENNGAELBENBP00,Nigeria - Benin EL existing trade link,Exports_EL,
BENNGAELNERBP00,Nigeria - Niger EL existing trade link,Exports_EL,
BENNGAGABENBP00,Nigeria - Benin Historic NG trade link,Exports_NG,
BENNGAGAGHABP00,Nigeria - Ghana Historic NG trade link,Exports_NG,
BENNGAGANERBP00,Nigeria - Niger Historic NG trade link,Exports_NG,
BENNGAGATGOBP00,Nigeria - Togo Historic NG trade link,Exports_NG,
BENCMRELTCDBP00,Cameroon - Chad EL planned trade link,Exports_EL,
BENCODELCOGBP00,DRC - Congo EL existing trade link,Exports_EL,
BENMOZGAZAFBP00,Mozambique - South Africa Historic NG trade link,Exports_NG,
BENTO CHECK WITH VIG,Geothermal,,
BENTO CHECK WITH VIG,Crude oil Refinery,,
BENMARGAS00IPIX, Intermediate technology for NG transferred through a pipeline to the imported country (input fuel MAGASP (exported by other countries) - output fuel MAGASF (the final fuel used in the country)),,
BENTUNGAS00IPIX, Intermediate technology for NG transferred through a pipeline to the imported country (input fuel MAGASP (exported by other countries) - output fuel MAGASF (the final fuel used in the country)),,
BENDZAGAS00IPIX, Intermediate technology for NG transferred through a pipeline to the imported country (input fuel MAGASP (exported by other countries) - output fuel MAGASF (the final fuel used in the country)),,
BENDJIGAS00IPIX, Intermediate technology for NG transferred through a pipeline to the imported country (input fuel MAGASP (exported by other countries) - output fuel MAGASF (the final fuel used in the country)),,
BENUGAGAS00IPIX, Intermediate technology for NG transferred through a pipeline to the imported country (input fuel MAGASP (exported by other countries) - output fuel MAGASF (the final fuel used in the country)),,
BENBENGAS00IPIX, Intermediate technology for NG transferred through a pipeline to the imported country (input fuel MAGASP (exported by other countries) - output fuel MAGASF (the final fuel used in the country)),,
BENGHAGAS00IPIX, Intermediate technology for NG transferred through a pipeline to the imported country (input fuel MAGASP (exported by other countries) - output fuel MAGASF (the final fuel used in the country)),,
BENNERGAS00IPIX, Intermediate technology for NG transferred through a pipeline to the imported country (input fuel MAGASP (exported by other countries) - output fuel MAGASF (the final fuel used in the country)),,
BENTGOGAS00IPIX, Intermediate technology for NG transferred through a pipeline to the imported country (input fuel MAGASP (exported by other countries) - output fuel MAGASF (the final fuel used in the country)),,
BENZAFGAS00IPIX, Intermediate technology for NG transferred through a pipeline to the imported country (input fuel MAGASP (exported by other countries) - output fuel MAGASF (the final fuel used in the country)),,
COAL,Coal imp,Extraction/Import,N
DIESEL,Diesel imports,Extraction/Import,N
GAS,Gas imports,Extraction/Import,N
HeavyFueloil,Heavy fuel oil imports,Extraction/Import,N
Imports,Imports,Power plant,Y
WI31ph,Wind central,Power plant,Y
