Timeslice,Hour,Month,Daysplit,Demand fuel,startyear,endyear,timesliceDN,timesliceDE,timesliceED,timesliceEN,timesliceNE,timesliceND,region,Tech,renewable ninjafile
,,,,EL3_212_0,,,,,,,,,,,
,,,,EL3_213_0,,,,,,,,,,,
,,,,EL3_214_0,,,,,,,,,,,
,,,,EL3_215_0,,,,,,,,,,,
,,,,EL3_215_1,,,,,,,,,,,
,,,,EL3_216_0,,,,,,,,,,,
,,,,EL3_216_1,,,,,,,,,,,
,,,,EL3_217_0,,,,,,,,,,,
,,,,EL3_217_1,,,,,,,,,,,
,,,,EL3_218_0,,,,,,,,,,,
,,,,EL3_218_1,,,,,,,,,,,
,,,,EL3_219_0,,,,,,,,,,,
,,,,EL3_219_1,,,,,,,,,,,
,,,,EL3_220_0,,,,,,,,,,,
,,,,EL3_220_1,,,,,,,,,,,
,,,,EL3_221_0,,,,,,,,,,,
,,,,EL3_221_1,,,,,,,,,,,
,,,,EL3_222_0,,,,,,,,,,,
,,,,EL3_222_1,,,,,,,,,,,
,,,,EL3_223_0,,,,,,,,,,,
,,,,EL3_223_1,,,,,,,,,,,
,,,,EL3_224_0,,,,,,,,,,,
,,,,EL3_224_1,,,,,,,,,,,
,,,,EL3_225_0,,,,,,,,,,,
,,,,EL3_225_1,,,,,,,,,,,
,,,,EL3_226_0,,,,,,,,,,,
,,,,EL3_226_1,,,,,,,,,,,
,,,,EL3_227_0,,,,,,,,,,,
,,,,EL3_227_1,,,,,,,,,,,
,,,,EL3_228_0,,,,,,,,,,,
,,,,EL3_228_1,,,,,,,,,,,
,,,,EL3_229_0,,,,,,,,,,,
,,,,EL3_229_1,,,,,,,,,,,
,,,,EL3_230_0,,,,,,,,,,,
,,,,EL3_231_0,,,,,,,,,,,
,,,,EL3_232_0,,,,,,,,,,,
,,,,EL3_232_1,,,,,,,,,,,
,,,,EL3_233_0,,,,,,,,,,,
,,,,EL3_233_1,,,,,,,,,,,
,,,,EL3_234_0,,,,,,,,,,,
,,,,EL3_235_0,,,,,,,,,,,
,,,,EL3_235_1,,,,,,,,,,,
,,,,EL3_236_0,,,,,,,,,,,
,,,,EL3_237_0,,,,,,,,,,,
,,,,EL3_237_1,,,,,,,,,,,
,,,,EL3_238_0,,,,,,,,,,,
,,,,EL3_238_1,,,,,,,,,,,
,,,,EL3_239_0,,,,,,,,,,,
,,,,EL3_239_1,,,,,,,,,,,
,,,,EL3_240_0,,,,,,,,,,,
,,,,EL3_240_1,,,,,,,,,,,
,,,,EL3_241_0,,,,,,,,,,,
,,,,EL3_241_1,,,,,,,,,,,
,,,,EL3_242_0,,,,,,,,,,,
,,,,EL3_242_1,,,,,,,,,,,
,,,,EL3_243_0,,,,,,,,,,,
,,,,EL3_243_1,,,,,,,,,,,
,,,,EL3_244_0,,,,,,,,,,,
,,,,EL3_244_1,,,,,,,,,,,
,,,,EL3_245_0,,,,,,,,,,,
,,,,EL3_245_1,,,,,,,,,,,
,,,,EL3_246_0,,,,,,,,,,,
,,,,EL3_246_1,,,,,,,,,,,
,,,,EL3_247_0,,,,,,,,,,,
,,,,EL3_247_1,,,,,,,,,,,
,,,,EL3_248_0,,,,,,,,,,,
,,,,EL3_248_1,,,,,,,,,,,
,,,,EL3_249_0,,,,,,,,,,,
,,,,EL3_249_1,,,,,,,,,,,
,,,,EL3_250_0,,,,,,,,,,,
,,,,EL3_251_0,,,,,,,,,,,
,,,,EL3_251_1,,,,,,,,,,,
,,,,EL3_252_0,,,,,,,,,,,
,,,,EL3_252_1,,,,,,,,,,,
,,,,EL3_253_0,,,,,,,,,,,
,,,,EL3_253_1,,,,,,,,,,,
,,,,EL3_254_0,,,,,,,,,,,
,,,,EL3_255_0,,,,,,,,,,,
,,,,EL3_256_0,,,,,,,,,,,
,,,,EL3_257_0,,,,,,,,,,,
,,,,EL3_257_1,,,,,,,,,,,
,,,,EL3_258_0,,,,,,,,,,,
,,,,EL3_258_1,,,,,,,,,,,
,,,,EL3_259_0,,,,,,,,,,,
,,,,EL3_259_1,,,,,,,,,,,
,,,,EL3_260_0,,,,,,,,,,,
,,,,EL3_260_1,,,,,,,,,,,
,,,,EL3_261_0,,,,,,,,,,,
,,,,EL3_261_1,,,,,,,,,,,
,,,,EL3_262_0,,,,,,,,,,,
,,,,EL3_262_1,,,,,,,,,,,
,,,,EL3_263_0,,,,,,,,,,,
,,,,EL3_263_1,,,,,,,,,,,
,,,,EL3_264_0,,,,,,,,,,,
,,,,EL3_264_1,,,,,,,,,,,
,,,,EL3_265_0,,,,,,,,,,,
,,,,EL3_265_1,,,,,,,,,,,
,,,,EL3_266_0,,,,,,,,,,,
,,,,EL3_266_1,,,,,,,,,,,
,,,,EL3_267_0,,,,,,,,,,,
,,,,EL3_267_1,,,,,,,,,,,
,,,,EL3_268_0,,,,,,,,,,,
,,,,EL3_268_1,,,,,,,,,,,
,,,,EL3_269_0,,,,,,,,,,,
,,,,EL3_269_1,,,,,,,,,,,
,,,,EL3_270_0,,,,,,,,,,,
,,,,EL3_270_1,,,,,,,,,,,
,,,,EL3_271_0,,,,,,,,,,,
,,,,EL3_271_1,,,,,,,,,,,
,,,,EL3_272_0,,,,,,,,,,,
,,,,EL3_273_0,,,,,,,,,,,
,,,,EL3_274_0,,,,,,,,,,,
,,,,EL3_275_0,,,,,,,,,,,
,,,,EL3_276_0,,,,,,,,,,,
,,,,EL3_277_0,,,,,,,,,,,
,,,,EL3_277_1,,,,,,,,,,,
,,,,EL3_278_0,,,,,,,,,,,
,,,,EL3_278_1,,,,,,,,,,,
,,,,EL3_279_0,,,,,,,,,,,
,,,,EL3_279_1,,,,,,,,,,,
,,,,EL3_280_0,,,,,,,,,,,
